descripcion,año,grupo_etario,sexo,cantidad
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2013,75+,F,24.0
Enfermedades del aparato digestivo,2010,75+,,4.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2017,75+,F,13.0
Enfermedades del aparato digestivo,2014,75+,,3.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2019,75+,F,11.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2011,75+,M,91.0
Enfermedades del aparato circulatorio,2007,75+,,8.0
Tumores ,2016,75+,,2.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2022,75+,F,8.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2007,75+,M,89.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2020,75+,,8.0
Enfermedades del aparato circulatorio,2011,75+,,30.0
Enfermedades del sistema genitourinario ,2021,75+,M,3841.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,75+,F,8190.0
Enfermedades del aparato digestivo,2013,75+,,1.0
Enfermedades del aparato digestivo,2017,75+,,1.0
Enfermedades del aparato digestivo,2018,75+,,5.0
Enfermedades del aparato digestivo,2015,75+,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2021,75+,M,484.0
Enfermedades de la piel y del tejido subcutáneo ,2018,75+,,3.0
Tumores ,2007,75+,,5.0
Tumores ,2011,75+,,9.0
Enfermedades del aparato respiratorio,2014,75+,,23.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2012,75+,,15.0
Enfermedades del sistema genitourinario ,2016,75+,,3.0
COVID-19,2022,75+,M,7067.0
Enfermedades del sistema genitourinario ,2009,75+,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2012,75+,,3.0
Enfermedades del aparato respiratorio,2007,75+,,2.0
Enfermedades infecciosas y parasitarias ,2014,35-54,F,654.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2016,35-54,M,307.0
Enfermedades del aparato digestivo,2019,35-54,M,1400.0
Enfermedades del aparato respiratorio,2008,35-54,F,832.0
Enfermedades del aparato circulatorio,2007,35-54,F,1901.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2008,35-54,F,311.0
Tumores ,2012,35-54,F,4367.0
Enfermedades del aparato digestivo,2013,35-54,M,1591.0
Accidentes y causas externas,2019,35-54,M,3321.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2021,35-54,M,55.0
Enfermedades del aparato circulatorio,2013,35-54,M,3977.0
Enfermedades infecciosas y parasitarias ,2010,35-54,F,673.0
Tumores ,2008,35-54,M,3657.0
Accidentes y causas externas,2013,35-54,M,3851.0
Enfermedades del aparato circulatorio,2022,35-54,M,4503.0
Accidentes y causas externas,2005,35-54,M,3263.0
Enfermedades del sistema genitourinario ,2005,35-54,F,222.0
Accidentes y causas externas,2017,35-54,M,3471.0
Accidentes y causas externas,2022,35-54,M,3376.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2011,35-54,M,474.0
Enfermedades del aparato digestivo,2022,35-54,M,1519.0
Enfermedades del aparato circulatorio,2021,35-54,,51.0
Enfermedades del aparato circulatorio,2019,35-54,M,3905.0
Enfermedades del aparato circulatorio,2017,35-54,M,3967.0
Enfermedades del aparato digestivo,2011,35-54,F,511.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2011,35-54,F,107.0
Tumores ,2020,35-54,F,4631.0
Accidentes y causas externas,2009,35-54,F,812.0
Tumores ,2006,35-54,M,3541.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2009,35-54,M,264.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2006,35-54,F,305.0
Enfermedades del sistema genitourinario ,2013,35-54,F,243.0
Enfermedades del sistema genitourinario ,2019,35-54,F,331.0
Enfermedades del aparato circulatorio,2005,35-54,M,4308.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2015,35-54,F,454.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2015,35-54,M,68.0
Enfermedades del aparato circulatorio,2011,35-54,F,1866.0
"Embarazo, parto y puerperio ",2016,35-54,F,76.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2007,35-54,M,482.0
"Embarazo, parto y puerperio ",2009,35-54,F,104.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2010,35-54,M,61.0
Enfermedades infecciosas y parasitarias ,2018,35-54,F,651.0
Enfermedades del aparato digestivo,2017,35-54,M,1512.0
Enfermedades del sistema genitourinario ,2022,35-54,F,337.0
Accidentes y causas externas,2016,35-54,F,858.0
Enfermedades del sistema genitourinario ,2017,35-54,F,302.0
Enfermedades del aparato respiratorio,2006,35-54,F,840.0
Enfermedades del aparato digestivo,2005,35-54,M,1395.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2018,35-54,F,498.0
Enfermedades del aparato digestivo,2007,35-54,F,466.0
Tumores ,2014,35-54,,6.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2018,35-54,M,62.0
Enfermedades infecciosas y parasitarias ,2015,35-54,F,708.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2010,35-54,F,606.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2012,35-54,M,22.0
Enfermedades de la piel y del tejido subcutáneo ,2018,35-54,F,65.0
Enfermedades de la piel y del tejido subcutáneo ,2014,35-54,F,49.0
Trastornos mentales,2021,35-54,M,92.0
Enfermedades de la piel y del tejido subcutáneo ,2009,35-54,M,23.0
Trastornos mentales,2012,35-54,F,24.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,35-54,F,521.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2021,35-54,F,85.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2020,35-54,M,14.0
Enfermedades de la piel y del tejido subcutáneo ,2015,35-54,F,52.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2007,35-54,F,95.0
Enfermedades de la piel y del tejido subcutáneo ,2010,35-54,F,26.0
Enfermedades de la piel y del tejido subcutáneo ,2016,35-54,M,87.0
Enfermedades infecciosas y parasitarias ,2021,35-54,,18.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2014,35-54,M,57.0
Accidentes y causas externas,2005,35-54,,6.0
Trastornos mentales,2020,35-54,F,18.0
Accidentes y causas externas,2019,35-54,,12.0
Accidentes y causas externas,2017,35-54,,10.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2018,35-54,,1.0
Enfermedades del aparato digestivo,2006,35-54,,1.0
Accidentes y causas externas,2013,35-54,,3.0
COVID-19,2021,35-54,,74.0
Enfermedades del aparato digestivo,2008,35-54,,3.0
Tumores ,2018,35-54,,4.0
Tumores ,2010,35-54,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2010,35-54,,1.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2018,55-74,F,21.0
Trastornos mentales,2017,55-74,F,113.0
Trastornos mentales,2005,55-74,F,119.0
Trastornos mentales,2019,55-74,F,173.0
Enfermedades del aparato digestivo,2013,55-74,,4.0
Enfermedades del aparato respiratorio,2008,55-74,,12.0
Trastornos mentales,2013,55-74,F,130.0
Enfermedades del aparato digestivo,2017,55-74,,12.0
Enfermedades del aparato digestivo,2019,55-74,,24.0
Enfermedades del aparato circulatorio,2007,55-74,,8.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2010,55-74,F,25.0
Trastornos mentales,2022,55-74,F,147.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2015,55-74,F,26.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2010,55-74,,7.0
Accidentes y causas externas,2008,55-74,,3.0
Accidentes y causas externas,2006,55-74,,2.0
Trastornos mentales,2015,55-74,,1.0
Enfermedades infecciosas y parasitarias ,2010,55-74,,2.0
Enfermedades infecciosas y parasitarias ,2018,55-74,,3.0
Enfermedades infecciosas y parasitarias ,2014,55-74,,2.0
Tumores ,2007,55-74,,3.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2015,55-74,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2018,55-74,,13.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2010,55-74,,4.0
Enfermedades del aparato respiratorio,2006,55-74,,2.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2015,55-74,,2.0
Enfermedades del sistema genitourinario ,2009,55-74,,3.0
Enfermedades infecciosas y parasitarias ,2015,55-74,,1.0
Enfermedades del sistema genitourinario ,2016,55-74,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2007,55-74,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,55-74,,11.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2017,0-14,F,1025.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2009,0-14,M,1394.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2016,0-14,M,1168.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,0-14,M,178.0
Afecciones originadas en el periodo perinatal ,2011,0-14,M,2478.0
Afecciones originadas en el periodo perinatal ,2020,0-14,F,982.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2013,0-14,F,1148.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2022,0-14,F,610.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2005,0-14,F,1183.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2016,0-14,M,72.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2019,0-14,F,859.0
Afecciones originadas en el periodo perinatal ,2007,0-14,M,2619.0
Afecciones originadas en el periodo perinatal ,2012,0-14,F,1731.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,0-14,M,266.0
Accidentes y causas externas,2008,0-14,M,825.0
Enfermedades del sistema genitourinario ,2013,0-14,M,17.0
Enfermedades del aparato circulatorio,2021,0-14,M,76.0
Enfermedades infecciosas y parasitarias ,2013,0-14,M,235.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2019,0-14,F,39.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,0-14,M,109.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2021,0-14,F,123.0
COVID-19,2021,0-14,F,59.0
Enfermedades del aparato digestivo,2015,0-14,M,45.0
Enfermedades infecciosas y parasitarias ,2005,0-14,M,342.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2018,0-14,,6.0
Enfermedades infecciosas y parasitarias ,2019,0-14,M,152.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2009,0-14,F,219.0
Enfermedades infecciosas y parasitarias ,2011,0-14,F,255.0
Accidentes y causas externas,2006,0-14,M,946.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2007,0-14,M,269.0
Enfermedades infecciosas y parasitarias ,2007,0-14,F,271.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2008,0-14,F,112.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2016,0-14,F,193.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2014,0-14,,18.0
Tumores ,2009,0-14,M,251.0
Enfermedades del aparato digestivo,2018,0-14,M,41.0
Enfermedades del aparato circulatorio,2021,0-14,F,75.0
Enfermedades del sistema genitourinario ,2005,0-14,M,27.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2017,0-14,F,17.0
Enfermedades del aparato digestivo,2010,0-14,M,43.0
Enfermedades del sistema genitourinario ,2008,0-14,F,22.0
Enfermedades del aparato digestivo,2014,0-14,M,45.0
Enfermedades del aparato digestivo,2011,0-14,F,30.0
Tumores ,2016,0-14,M,240.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2013,0-14,F,35.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2015,0-14,,7.0
Enfermedades infecciosas y parasitarias ,2017,0-14,M,178.0
COVID-19,2022,0-14,M,61.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2006,0-14,F,126.0
Enfermedades del sistema genitourinario ,2017,0-14,M,16.0
Enfermedades infecciosas y parasitarias ,2022,0-14,M,123.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2005,0-14,F,37.0
Enfermedades del aparato circulatorio,2011,15-34,M,584.0
Accidentes y causas externas,2009,15-34,M,5865.0
Tumores ,2016,15-34,M,761.0
"Embarazo, parto y puerperio ",2013,15-34,F,202.0
"Embarazo, parto y puerperio ",2017,15-34,F,169.0
Enfermedades del aparato circulatorio,2007,15-34,F,284.0
Tumores ,2009,15-34,M,702.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2017,15-34,F,79.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2022,15-34,F,51.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2014,15-34,M,332.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,15-34,F,189.0
Enfermedades del aparato respiratorio,2020,15-34,M,462.0
Enfermedades del aparato respiratorio,2018,15-34,F,374.0
"Embarazo, parto y puerperio ",2005,15-34,F,206.0
Accidentes y causas externas,2021,15-34,F,1079.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2020,15-34,F,126.0
Enfermedades del aparato respiratorio,2012,15-34,M,492.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2012,15-34,F,161.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2015,15-34,M,318.0
Tumores ,2007,15-34,F,640.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2018,15-34,M,362.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2009,15-34,F,46.0
Enfermedades del aparato circulatorio,2011,15-34,F,339.0
Enfermedades del aparato respiratorio,2014,15-34,F,306.0
Enfermedades del aparato circulatorio,2007,15-34,M,501.0
Trastornos mentales,2007,15-34,M,22.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2006,15-34,M,166.0
Accidentes y causas externas,2016,15-34,M,5797.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2018,15-34,F,46.0
Tumores ,2011,15-34,F,672.0
Enfermedades del aparato digestivo,2009,15-34,F,112.0
Enfermedades infecciosas y parasitarias ,2008,15-34,M,411.0
"Embarazo, parto y puerperio ",2019,15-34,F,169.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2010,15-34,M,390.0
Enfermedades infecciosas y parasitarias ,2006,15-34,M,466.0
Enfermedades del sistema genitourinario ,2014,15-34,F,66.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2010,15-34,F,31.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2008,15-34,M,29.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2013,15-34,F,69.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2008,15-34,M,245.0
Enfermedades del sistema genitourinario ,2018,15-34,F,73.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2014,15-34,F,32.0
Enfermedades de la piel y del tejido subcutáneo ,2015,15-34,F,22.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2009,15-34,M,62.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2022,15-34,F,85.0
Accidentes y causas externas,2021,15-34,,47.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2017,15-34,F,65.0
Enfermedades del aparato respiratorio,2015,15-34,F,305.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2005,15-34,F,58.0
Enfermedades del aparato respiratorio,2010,15-34,F,340.0
Trastornos mentales,2011,15-34,M,16.0
Enfermedades del aparato digestivo,2016,15-34,F,127.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2005,15-34,F,73.0
Enfermedades de la piel y del tejido subcutáneo ,2021,15-34,M,22.0
COVID-19,2021,15-34,M,881.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2015,15-34,F,43.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2013,15-34,F,80.0
Enfermedades del sistema genitourinario ,2011,15-34,M,57.0
Enfermedades del sistema genitourinario ,2015,15-34,F,79.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2019,15-34,F,84.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2012,15-34,F,221.0
"Embarazo, parto y puerperio ",2022,15-34,F,168.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2009,15-34,M,85.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2016,15-34,M,65.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2019,15-34,F,45.0
Enfermedades de la piel y del tejido subcutáneo ,2010,15-34,F,15.0
COVID-19,2021,15-34,F,656.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2006,15-34,M,27.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2016,15-34,F,47.0
Enfermedades del aparato circulatorio,2009,15-34,,7.0
Enfermedades del sistema genitourinario ,2006,0-14,F,25.0
Afecciones originadas en el periodo perinatal ,2014,0-14,,3.0
Enfermedades del aparato respiratorio,2008,0-14,,2.0
Enfermedades del sistema genitourinario ,2019,0-14,M,23.0
Enfermedades del sistema genitourinario ,2022,0-14,M,20.0
Enfermedades de la piel y del tejido subcutáneo ,2015,0-14,F,5.0
Enfermedades del aparato digestivo,2007,0-14,F,51.0
Afecciones originadas en el periodo perinatal ,2010,0-14,,7.0
Accidentes y causas externas,2021,0-14,,3.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2006,0-14,,1.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2008,0-14,,2.0
Afecciones originadas en el periodo perinatal ,2015,0-14,,1.0
Enfermedades del aparato respiratorio,2006,0-14,,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2022,0-14,F,24.0
Afecciones originadas en el periodo perinatal ,2018,0-14,,2.0
Trastornos mentales,2013,0-14,F,4.0
Enfermedades de la piel y del tejido subcutáneo ,2010,0-14,F,2.0
COVID-19,2020,0-14,,2.0
Enfermedades de la piel y del tejido subcutáneo ,2014,0-14,F,2.0
Enfermedades de la piel y del tejido subcutáneo ,2018,0-14,F,4.0
Trastornos mentales,2019,0-14,F,3.0
Enfermedades del aparato circulatorio,2009,0-14,,3.0
"Embarazo, parto y puerperio ",2008,0-14,F,4.0
"Embarazo, parto y puerperio ",2006,0-14,F,5.0
Trastornos mentales,2017,0-14,F,1.0
Trastornos mentales,2022,0-14,F,1.0
Trastornos mentales,2005,0-14,F,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2016,15-34,M,111.0
Enfermedades del sistema genitourinario ,2010,15-34,F,76.0
Enfermedades de la piel y del tejido subcutáneo ,2014,15-34,F,17.0
Enfermedades del sistema genitourinario ,2007,15-34,M,70.0
Trastornos mentales,2007,15-34,F,7.0
Enfermedades de la piel y del tejido subcutáneo ,2018,15-34,F,17.0
Enfermedades del sistema genitourinario ,2014,15-34,,2.0
Tumores ,2019,15-34,,2.0
Trastornos mentales,2011,15-34,F,5.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,15-34,,5.0
Enfermedades del aparato circulatorio,2016,15-34,,3.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2012,15-34,,1.0
Tumores ,2013,15-34,,2.0
Tumores ,2005,15-34,,4.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2020,15-34,,1.0
Tumores ,2017,15-34,,1.0
Enfermedades del aparato digestivo,2014,15-34,,1.0
Enfermedades del sistema genitourinario ,2018,15-34,,1.0
Enfermedades infecciosas y parasitarias ,2007,15-34,,1.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2012,15-34,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2011,35-54,,1.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2007,35-54,,1.0
Enfermedades de la piel y del tejido subcutáneo ,2007,55-74,,1.0
Tumores ,2005,,M,56.0
Tumores ,2022,,M,35.0
Enfermedades del aparato respiratorio,2016,,F,176.0
Accidentes y causas externas,2011,,M,83.0
Enfermedades del aparato circulatorio,2011,,F,68.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2005,,M,14.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2022,,M,17.0
Enfermedades del aparato circulatorio,2016,,M,295.0
Enfermedades del aparato circulatorio,2009,,M,152.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2013,,M,12.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2006,,,16.0
Accidentes y causas externas,2016,,,10.0
Enfermedades del aparato respiratorio,2009,,F,77.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2009,,F,55.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2008,,,24.0
Enfermedades del aparato circulatorio,2013,,,37.0
Enfermedades del aparato circulatorio,2005,,,28.0
Tumores ,2019,,M,166.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2017,,M,32.0
Accidentes y causas externas,2007,,M,83.0
Tumores ,2017,,M,147.0
Accidentes y causas externas,2021,,F,50.0
Tumores ,2013,,M,33.0
Enfermedades infecciosas y parasitarias ,2011,,M,27.0
Enfermedades infecciosas y parasitarias ,2011,,,6.0
Enfermedades del aparato digestivo,2008,,F,9.0
Enfermedades del sistema genitourinario ,2021,,M,25.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2021,,,5.0
Enfermedades infecciosas y parasitarias ,2005,,F,9.0
Enfermedades infecciosas y parasitarias ,2007,,M,18.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2014,,F,3.0
Enfermedades del aparato circulatorio,2007,,F,80.0
Enfermedades del aparato respiratorio,2014,,,6.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2015,,F,8.0
Enfermedades del aparato respiratorio,2020,,M,229.0
Accidentes y causas externas,2009,,,36.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2019,,M,32.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2016,,F,30.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2018,,F,3.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2021,,F,17.0
Enfermedades infecciosas y parasitarias ,2019,,F,40.0
Enfermedades de la piel y del tejido subcutáneo ,2017,,M,10.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2016,,F,2.0
Enfermedades del aparato digestivo,2006,,F,6.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2006,,M,2.0
Enfermedades del aparato circulatorio,2017,,,17.0
Enfermedades de la piel y del tejido subcutáneo ,2022,,M,6.0
Enfermedades del aparato respiratorio,2012,,M,48.0
Enfermedades infecciosas y parasitarias ,2022,,F,31.0
Enfermedades del sistema genitourinario ,2008,,F,4.0
Enfermedades del aparato respiratorio,2015,,,12.0
Enfermedades del aparato circulatorio,2019,,,9.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2020,,F,2.0
Enfermedades del aparato respiratorio,2010,,,17.0
Enfermedades de la piel y del tejido subcutáneo ,2013,,M,1.0
Trastornos mentales,2007,,,1.0
Enfermedades infecciosas y parasitarias ,2013,,F,10.0
Enfermedades de la piel y del tejido subcutáneo ,2020,,F,9.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2010,,F,4.0
Enfermedades del aparato digestivo,2016,,,2.0
Enfermedades de la piel y del tejido subcutáneo ,2019,,M,7.0
Enfermedades infecciosas y parasitarias ,2017,,F,45.0
Enfermedades de la piel y del tejido subcutáneo ,2015,,,1.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2009,,F,2.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2016,,M,1.0
Enfermedades del aparato digestivo,2009,,,4.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2005,,,1.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2010,,,1.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2009,,M,6.0
COVID-19,2022,,F,14.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2016,,M,4.0
Enfermedades del sistema genitourinario ,2006,,F,3.0
Enfermedades infecciosas y parasitarias ,2007,,,1.0
Enfermedades del aparato respiratorio,2018,,,5.0
Enfermedades de la piel y del tejido subcutáneo ,2005,,M,1.0
Trastornos mentales,2021,,M,1.0
COVID-19,2021,75+,,182.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",2020,75+,,43.0
Enfermedades de la piel y del tejido subcutáneo ,2010,75+,,1.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",2009,,M,1.0
Trastornos mentales,2007,,F,1.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2019,,,1.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,2012,,F,1.0
Tumores ,2010,55-74,M,16036.0
Tumores ,2015,55-74,M,17238.0
Tumores ,2018,55-74,M,17068.0
Accidentes y causas externas,2010,55-74,M,2678.0
Enfermedades del aparato digestivo,2013,55-74,M,4035.0
Enfermedades del aparato respiratorio,2008,55-74,M,7073.0
Enfermedades del aparato circulatorio,2014,55-74,M,17905.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2018,55-74,F,2034.0
Enfermedades del aparato respiratorio,2006,55-74,M,6630.0
Accidentes y causas externas,2018,55-74,M,2734.0
Enfermedades del aparato circulatorio,2018,55-74,M,19034.0
Accidentes y causas externas,2005,55-74,F,939.0
Enfermedades del aparato respiratorio,2019,55-74,F,6469.0
Tumores ,2014,55-74,M,16699.0
Accidentes y causas externas,2014,55-74,M,2715.0
Accidentes y causas externas,2019,55-74,F,841.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2011,55-74,M,2401.0
Tumores ,2007,55-74,F,11346.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,2011,55-74,F,455.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2010,55-74,F,1801.0
Tumores ,2011,55-74,F,11893.0
Enfermedades del aparato circulatorio,2015,55-74,M,18531.0
Enfermedades del aparato circulatorio,2006,55-74,F,9482.0
COVID-19,2020,55-74,M,13987.0
